H00001 NP_001005484.1
H18364 NP_001107654.1
H18365 NP_057207.2
H18366 NP_001138728.1
H18367 NP_001138729.1
H18368 NP_001138730.1
H18369 NP_002813.2
H18370 NP_115632.1
H18371 NP_001138582.1
H18372 NP_001138579.1
H18373 NP_006150.1
H18374 NP_001138580.1
H18375 NP_001138581.1
H18376 NP_001004329.2
H18377 NP_056983.1
H18378 NP_001136151.1
H18379 NP_001136152.1
H18380 NP_001020527.2
H18381 NP_001136150.1
H18382 NP_689854.2
H18383 NP_004710.2
H18384 NP_109599.3
H18385 NP_001070952.1
H18386 NP_061849.2
H18387 NP_060488.2
H18388 NP_001137296.1
H18389 NP_862830.1
H18390 NP_001137140.1
H18391 NP_612380.1
H18392 NP_078880.2
H18393 NP_001139547.1
H18394 NP_001139548.1
H18395 NP_006016.1
H18396 NP_001165910.1
H18397 NP_001165911.1
H18398 NP_001092001.1
H18399 NP_006096.2
H18400 NP_001092002.1
H18401 NP_060312.2
H18402 NP_056216.2
H18403 NP_001091886.1
H18404 NP_000367.1
H18405 NP_001017535.1
H18406 NP_076961.1
H18407 NP_001137313.1
H18408 NP_001137314.1
H18409 NP_001137315.1
H18410 NP_149162.2
H18411 NP_001835.3
H18412 NP_055369.1
H18413 XP_003118989.1
H18414 NP_001160158.1
H18415 NP_000280.1
H18416 NP_001160159.1
H18417 NP_001160160.1
H18418 NP_077000.1
H18419 NP_001013657.3
H18420 NP_001004134.1
H18421 NP_861453.1
H18422 NP_689533.2
H18423 NP_001166152.1
H18424 NP_001166153.1
H18425 XP_003118991.1
H18426 NP_036536.2
H18427 NP_689532.1
H18428 NP_001005203.2
H18429 NP_002280.1
H18430 NP_060292.3
H18431 NP_001231.2
H18432 NP_056085.1
H18433 NP_066193.1
H18434 NP_000716.2
H18435 NP_004809.2
H18436 NP_055285.1
H18437 NP_149115.2
H18438 NP_057678.1
H18439 NP_001137253.1
H18440 NP_001137254.1
H18441 NP_001650.1
H18442 NP_003385.2
H18443 NP_005421.1
H18444 NP_055901.2
H18445 NP_002724.1
H18446 NP_997626.1
H18447 NP_003473.3
H18448 NP_653194.1
H18449 NP_066382.1
H18450 NP_060583.2
H18451 NP_006073.2
H18452 NP_006000.2
H18453 NP_116093.1
H18454 NP_006253.2
H18455 NP_005471.3
H18456 NP_001094090.1
H18457 NP_001008224.1
H18458 NP_079178.2
H18459 NP_075559.2
H18460 NP_036416.1
H18461 NP_006328.2
H18462 NP_001012300.1
H18463 NP_115506.1
H18464 NP_001026868.1
H18465 NP_036404.1
H18466 NP_944489.2
H18467 NP_783863.4
H18468 NP_001092046.1
H18469 NP_003208.2
H18470 NP_001032895.2
H18471 NP_859059.1
H18472 NP_036438.2
H18473 NP_000477.1
H18474 NP_001642.1
H18475 NP_001643.2
H18476 NP_037409.2
H18477 NP_001119575.1
H18478 NP_001119576.1
H18479 NP_001086.2
H18480 NP_064423.2
H18481 NP_003067.3
H18482 NP_620710.2
H18483 NP_005267.2
H18484 NP_116290.1
H18485 NP_671723.1
H18486 NP_057441.1
H18487 NP_001107018.1
H18488 NP_001107019.1
H18489 NP_001138947.1
H18490 NP_443111.4
H18491 NP_954658.2
H18492 NP_954660.1
H18493 NP_001164274.1
H18494 NP_001164279.1
H18495 NP_001164275.1
H18496 NP_775873.2
H18497 NP_005162.1
H18498 NP_872365.1
H18499 NP_054752.3
H18500 NP_001103089.1
H18501 NP_001167597.1
H18502 NP_001167598.1
H18503 NP_001167596.1
H18504 NP_000608.1
H18505 NP_001167600.1
H18506 NP_001167599.1
H18507 NP_001167601.1
H18508 NP_056231.3
H18509 NP_001019839.1
H18510 NP_110436.1
H18511 NP_005644.2
H18512 NP_001166923.1
H18513 NP_001166924.1
H18514 NP_002693.3
H18515 NP_001129741.1
H18516 NP_001129738.1
H18517 NP_055579.1
H18518 NP_001129736.1
H18519 NP_001129739.1
H18520 NP_001129740.1
H18521 NP_001026798.1
H18522 NP_001029045.1
H18523 NP_057377.2
H18524 NP_001962.3
H18525 NP_009141.2
H18526 NP_001035049.1
H18527 NP_004849.2
H18528 NP_055006.1
H18529 NP_001171455.1
H18530 NP_001013712.2
H18531 XP_001127575.4
H18532 NP_872414.3
H18533 NP_001123487.1
H18534 NP_000011.2
H18535 NP_001070869.1
H18536 NP_004293.1
H18537 NP_064733.3
H18538 NP_064732.3
H18539 NP_859062.1
H18540 XP_003118993.1
H18541 NP_002126.2
H18542 NP_775180.1
H18543 NP_068753.2
H18544 NP_001092143.1
H18545 NP_872313.2
H18546 NP_001074961.1
H18547 NP_005547.3
H18548 NP_002272.2
H18549 NP_002275.1
H18550 NP_002273.3
H18551 NP_002274.1
H18552 NP_149034.2
H18553 NP_149022.3
H18554 NP_004684.2
H18555 NP_005546.2
H18556 NP_775109.2
H18557 NP_005545.1
H18558 NP_000415.2
H18559 NP_258259.1
H18560 NP_778223.2
H18561 NP_542785.1
H18562 NP_001139697.1
H18563 NP_001139698.1
H18564 NP_778238.1
H18565 NP_000414.2
H18566 NP_006112.3
H18567 NP_778253.2
H18568 NP_056932.2
H18569 NP_476429.2
H18570 NP_002263.2
H18571 NP_787028.1
H18572 NP_775487.2
H18573 NP_002264.1
H18574 NP_000215.1
H18575 NP_954657.1
H18576 NP_001408.2
H18577 NP_056134.2
H18578 NP_736610.2
H18579 NP_938072.1
H18580 NP_116229.1
H18581 NP_002169.1
H18582 NP_003569.1
H18583 NP_057073.4
H18584 NP_001004304.1
H18585 NP_000880.1
H18586 NP_000957.1
H18587 NP_001036193.1
H18588 NP_001164261.1
H18589 NP_116278.3
H18590 NP_036423.4
H18591 NP_002615.2
H18592 NP_665904.1
H18593 NP_067653.3
H18594 NP_056480.1
H18595 NP_001166937.1
H18596 NP_690599.1
H18597 NP_001166938.1
H18598 NP_612482.2
H18599 NP_003100.1
H18600 NP_065434.1
H18601 NP_001158163.1
H18602 NP_001158162.1
H18603 NP_060927.1
H18604 NP_001005354.1
H18605 NP_001092090.1
H18606 NP_005007.2
H18607 NP_114366.1
H18608 NP_001122383.1
H18609 NP_001122384.1
H18610 NP_001122385.1
H18611 NP_001122386.1
H18612 NP_006292.3
H18613 NP_001180440.1
H18614 NP_599150.1
H18615 NP_599151.2
H18616 NP_004169.3
H18617 NP_003708.1
H18618 NP_001123531.1
H18619 NP_006847.1
H18620 NP_001123532.1
H18621 NP_005167.2
H18622 NP_001002031.1
H18623 NP_065949.1
H18624 NP_001137154.1
H18625 NP_059106.2
H18626 NP_776272.1
H18627 NP_055027.1
H18628 NP_059105.2
H18629 NP_008828.1
H18630 NP_073149.1
H18631 NP_004494.1
H18632 NP_710160.1
H18633 NP_061826.1
H18634 NP_055435.2
H18635 NP_705897.1
H18636 NP_055126.1
H18637 NP_036249.1
H18638 NP_001120793.1
H18639 NP_001120794.1
H18640 NP_002127.1
H18641 NP_112420.1
H18642 NP_001129495.1
H18643 NP_006154.1
H18644 NP_057141.1
H18645 NP_065103.1
H18646 NP_001124439.1
H18647 NP_001124440.1
H18648 NP_056296.1
H18649 NP_002196.2
H18650 NP_653195.2
H18651 NP_005328.2
H18652 NP_001171905.1
H18653 NP_000915.1
H18654 NP_001159447.1
H18655 NP_006732.3
H18656 NP_150593.1
H18657 NP_444513.1
H18658 NP_477521.1
H18659 NP_001092285.1
H18660 NP_001129502.1
H18661 NP_067014.2
H18662 NP_001005243.1
H18663 NP_001005280.1
H18664 NP_001005490.1
H18665 NP_001005493.1
H18666 NP_001005182.1
H18667 NP_473445.1
H18668 NP_001005497.1
H18669 NP_001005518.1
H18670 NP_001005183.1
H18671 NP_473446.1
H18672 NP_001005499.1
H18673 NP_001005519.1
H18674 NP_001005494.1
H18675 NP_996782.1
H18676 NP_689850.2
H18677 NP_001138469.1
H18678 NP_002197.2
H18679 NP_001138468.1
H18680 NP_001478.1
H18681 NP_002896.2
H18682 NP_001771.1
H18683 NP_001035123.1
H18684 NP_005802.1
H18685 NP_149073.1
H18686 NP_054901.1
H18687 NP_115740.5
H18688 NP_002420.1
H18689 NP_115721.1
H18690 NP_001137325.1
H18691 NP_001336.2
H18692 NP_958852.1
H18693 NP_958853.1
H18694 NP_963848.1
H18695 NP_008859.1
H18696 NP_439892.2
H18697 NP_001789.2
H18698 NP_002859.1
H18699 NP_000447.2
H18700 NP_001027558.1
H18701 NP_001027559.1
H18702 NP_071910.3
H18703 NP_001020.2
H18704 NP_001973.2
H18705 NP_001005915.1
H18706 NP_006182.2
H18707 NP_066927.1
H18708 NP_001030344.1
H18709 NP_116175.1
H18710 NP_056107.1
H18711 NP_001171725.1
H18712 NP_002466.1
H18713 NP_524147.2
H18714 NP_066299.2
H18715 NP_001123892.1
H18716 NP_003066.2
H18717 NP_620706.1
H18718 NP_005776.1
H18719 NP_919340.1
H18720 NP_919339.1
H18721 NP_076973.1
H18722 NP_775867.2
H18723 NP_001128667.1
H18724 NP_775866.2
H18725 NP_653177.3
H18726 NP_001092807.1
H18727 NP_004068.2
H18728 NP_055070.1
H18729 NP_001177920.1
H18730 NP_055686.3
H18731 NP_001159751.1
H18732 NP_001120932.1
H18733 NP_057668.1
H18734 NP_005410.1
H18735 NP_938146.1
H18736 NP_001629.1
H18737 NP_003911.2
H18738 NP_036196.1
H18739 NP_997227.1
H18740 NP_037399.2
H18741 NP_002889.1
H18742 NP_038477.2
H18743 NP_001677.2
H18744 NP_006592.3
H18745 NP_005585.1
H18746 NP_001106672.1
H18747 NP_001106673.1
H18748 NP_001106674.1
H18749 NP_000937.1
H18750 NP_003716.2
H18751 NP_683695.1
H18752 NP_003699.3
H18753 NP_009195.1
H18754 NP_055645.1
H18755 NP_037383.1
H18756 NP_001171525.1
H18757 NP_005370.1
H18758 NP_056072.2
H18759 NP_001124435.1
H18760 NP_005958.1
H18761 NP_003144.3
H18762 NP_001171549.1
H18763 NP_001171550.1
H18764 NP_001171551.1
H18765 NP_001171552.1
H18766 NP_002323.2
H18767 NP_009155.1
H18768 NP_005403.2
H18769 NP_001159828.1
H18770 NP_001159829.1
H18771 NP_001159830.1
H18772 NP_001159831.1
H18773 NP_064527.1
H18774 NP_659501.1
H18775 NP_055740.3
H18776 NP_005529.1
H18777 NP_113667.1
H18778 NP_005260.1
H18779 NP_001161081.1
H18780 NP_001153517.1
H18781 NP_115885.2
H18782 NP_001073625.1
H18783 NP_001073626.1
H18784 NP_004981.2
H18785 NP_001181982.1
H18786 NP_001181983.1
H18787 NP_001181984.1
H18788 NP_001181985.1
H18789 NP_004074.2
H18790 NP_001181986.1
H18791 NP_443129.3
H18792 NP_006391.1
H18793 NP_004975.2
H18794 NP_079055.3
H18795 NP_001139730.1
H18796 NP_001139731.1
H18797 NP_001139732.1
H18798 NP_848597.1
H18799 NP_001104740.1
H18800 NP_891992.2
H18801 NP_597996.2
H18802 NP_001469.1
H18803 NP_006803.1
H18804 NP_001017956.1
H18805 NP_001017957.1
H18806 NP_001017958.1
H18807 NP_055585.1
H18808 NP_001116244.1
H18809 NP_005972.1
H18810 NP_000066.1
H18811 NP_612405.2
H18812 NP_000776.1
H18813 NP_005362.3
H18814 NP_075422.3
H18815 NP_056248.2
H18816 NP_996797.1
H18817 NP_001166168.1
H18818 NP_005717.3
H18819 NP_001166167.1
H18820 NP_001166166.1
H18821 NP_006567.3
H18822 NP_005721.3
H18823 XP_002343215.1
H18824 NP_150592.1
H18825 NP_700356.2
H18826 NP_001129523.1
H18827 NP_004722.2
H18828 NP_848634.1
H18829 NP_006304.1
H18830 NP_055841.2
H18831 NP_787091.1
H18832 NP_065751.1
H18833 XP_003118995.1
H18834 NP_000697.1
H18835 NP_776173.3
H18836 NP_055069.1
H18837 NP_065813.1
H18838 NP_689653.3
H18839 NP_001093146.1
H18840 NP_001164104.1
H18841 NP_009166.2
H18842 NP_037386.1
H18843 NP_835463.1
H18844 NP_002067.1
H18845 XP_003118998.1
H18846 XP_003118996.1
H18847 XP_003118999.1
H18848 XP_037557.5
H18849 XP_003118997.1
H18850 NP_009122.2
H18851 NP_055134.2
H18852 NP_001161086.1
H18853 NP_932346.1
H18854 NP_001026849.1
H18855 NP_001180389.1
H18856 NP_001180390.1
H18857 NP_003474.1
H18858 NP_003475.1
H18859 NP_115714.1
H18860 NP_057140.2
H18861 NP_001135995.1
H18862 NP_009130.2
H18863 NP_387467.2
H18864 NP_066973.2
H18865 NP_001171545.1
H18866 NP_060918.2
H18867 NP_006473.2
H18868 NP_003574.1
H18869 NP_000610.2
H18870 NP_060872.1
H18871 NP_065386.1
H18872 NP_059136.2
H18873 NP_064513.1
H18874 NP_001010942.1
H18875 NP_056461.1
H18876 NP_065134.1
H18877 NP_061126.2
H18878 NP_002383.2
H18879 NP_001865.1
H18880 NP_938079.1
H18881 NP_001005502.1
H18882 NP_008938.2
H18883 NP_000230.1
H18884 NP_006521.1
H18885 NP_006645.3
H18886 NP_001036020.1
H18887 NP_006422.1
H18888 NP_963844.2
H18889 NP_116124.2
H18890 NP_689652.2
H18891 NP_783322.1
H18892 NP_783324.1
H18893 NP_071901.2
H18894 NP_783323.1
H18895 NP_001019818.1
H18896 XP_001718960.1
H18897 NP_055330.1
H18898 NP_055320.4
H18899 NP_001103224.1
H18900 NP_002828.3
H18901 NP_002840.1
H18902 NP_570897.1
H18903 NP_004607.1
H18904 NP_003658.1
H18905 NP_659419.3
H18906 NP_113623.1
H18907 NP_060749.2
H18908 NP_055814.1
H18909 NP_073608.4
H18910 NP_001139685.2
H18911 NP_001139686.1
H18912 NP_775489.2
H18913 NP_037513.1
H18914 XP_003118985.1
H18915 NP_001129734.1
H18916 NP_631874.1
H18917 NP_715624.1
H18918 NP_631875.1
H18919 NP_115995.2
H18920 NP_689992.1
H18921 NP_689649.1
H18922 NP_006842.2
H18923 NP_008974.5
H18924 XP_002343241.1
H18925 NP_031376.3
H18926 NP_004528.1
H18927 NP_631946.1
H18928 NP_078961.3
H18929 NP_065892.1
H18930 NP_001003712.1
H18931 NP_056151.2
H18932 NP_001312.1
H18933 NP_976328.2
H18934 NP_055718.4
H18935 NP_001129277.1
H18936 NP_005630.1
H18937 NP_001129278.1
H18938 NP_002574.2
H18939 NP_002471.1
H18940 NP_001137357.1
H18941 NP_001137358.1
H18942 NP_775862.3
H18943 NP_001138498.1
H18944 NP_002460.1
H18945 NP_005584.2
H18946 NP_004655.1
H18947 NP_078836.1
H18948 NP_003616.2
H18949 NP_054886.2
H18950 NP_115606.2
H18951 NP_689801.1
H18952 NP_877499.1
H18953 NP_001139807.1
H18954 NP_060527.2
H18955 NP_001094387.1
H18956 NP_001073379.1
H18957 NP_115541.3
H18958 NP_008913.2
H18959 NP_005438.2
H18960 NP_006174.1
H18961 NP_037376.2
H18962 NP_689802.1
H18963 NP_001009894.2
H18964 NP_079390.3
H18965 NP_861448.2
H18966 NP_003985.2
H18967 NP_000890.1
H18968 NP_001937.2
H18969 NP_073143.2
H18970 NP_758440.1
H18971 NP_003765.2
H18972 NP_001673.2
H18973 NP_001001323.1
H18974 NP_689851.1
H18975 NP_004941.2
H18976 NP_008966.1
H18977 NP_002336.1
H18978 NP_598013.1
H18979 NP_598012.1
H18980 NP_598011.1
H18981 NP_001911.1
H18982 NP_598010.1
H18983 NP_598014.1
H18984 NP_001722.1
H18985 NP_001020403.1
H18986 NP_001020404.1
H18987 NP_001032760.1
H18988 NP_001171568.1
H18989 NP_001004330.1
H18990 NP_003557.2
H18991 XP_003118986.1
H18992 XP_001719952.1
H18993 XP_002343223.2
H18994 NP_061967.3
H18995 NP_950241.1
H18996 NP_003339.1
H18997 NP_751917.1
H18998 NP_054769.1
H18999 NP_751918.1
H19000 XP_003118987.1
H19001 XP_003118988.1
H19002 NP_003868.1
H19003 NP_003796.1
H19004 NP_005752.1
H19005 NP_001035858.1
H19006 NP_057206.2
H19007 NP_065749.2
H19008 NP_061326.1
H19009 NP_003288.2
H19010 NP_001027458.1
H19011 NP_001120834.1
H19012 NP_060821.3
H19013 NP_060069.3
H19014 NP_006829.1
H19015 NP_115523.2
H19016 NP_001035862.1
H19017 NP_067052.2
H19018 NP_003086.1
H19019 NP_872302.2
H19020 NP_689648.2
H19021 NP_002099.1
H19022 NP_000886.1
H19023 NP_005221.2
H19024 NP_002586.2
H19025 NP_001163935.1
H19026 XP_001715142.2
H19027 XP_003118990.1
H19028 XP_003118994.1
H19029 NP_001128647.1
H19030 NP_690869.1
H19031 NP_001128648.1
H19032 NP_001128649.1
H19033 NP_001027454.1
H19034 NP_001027455.1
H19035 NP_003267.1
H19036 NP_998776.1
H19037 NP_002626.1
H19038 NP_005879.1
H19039 NP_963906.1
H19040 NP_963907.1
H19041 NP_710154.1
H19042 NP_863651.1
H19043 NP_863658.1
H19044 NP_001151.1
H19045 NP_037361.1
H19046 NP_863659.1
H19047 NP_690001.3
H19048 NP_064525.1
H19049 NP_858056.2
H19050 NP_699195.1
H19051 NP_055869.1
H19052 NP_001006948.1
H19053 NP_071941.1
H19054 NP_689530.1
H19055 NP_060458.3
H19056 NP_647480.1
H19057 NP_001138760.1
H19058 NP_005114.1
H19059 NP_777602.1
H19060 NP_849148.2
H19061 NP_666018.3
H19062 NP_055318.2
H19063 NP_001168.1
H19064 NP_689536.1
H19065 NP_002456.2
H19066 NP_996557.1
H19067 NP_996556.1
H19068 NP_996555.1
H19069 NP_064629.2
H19070 NP_710161.1
H19071 NP_001171419.1
H19072 NP_001171420.1
H19073 NP_077288.2
H19074 NP_060840.2
H19075 NP_057137.1
H19076 NP_076962.2
H19077 NP_060385.3
H19078 NP_002665.2
H19079 NP_000609.1
H19080 NP_001104754.1
H19081 NP_001104753.1
H19082 NP_001104755.1
H19083 NP_000268.1
H19084 NP_004307.2
H19085 NP_001092806.1
H19086 NP_940923.2
H19087 NP_060034.9
H19088 NP_001026871.1
H19089 NP_003290.1
H19090 NP_001129042.1
H19091 NP_003202.3
H19092 NP_112592.1
H19093 NP_037452.1
H19094 NP_006157.1
H19095 NP_001087240.1
H19096 NP_003321.3
H19097 NP_001008395.1
H19098 NP_877393.1
H19099 NP_877419.1
H19100 NP_877420.1
H19101 NP_060883.1
H19102 NP_001167453.1
H19103 NP_115524.3
H19104 NP_689531.2
H19105 NP_001029345.2
H19106 NP_056090.1
H19107 NP_060641.2
H19108 NP_001138671.1
H19109 NP_055655.1
H19110 NP_006816.2
H19111 NP_689985.1
H19112 NP_060552.4
H19113 NP_001154180.1
H19114 XP_002343224.1
H19115 NP_998759.1
H19116 NP_002911.2
H19117 NP_115880.2
H19118 NP_060627.2
H19119 NP_689474.1
H19120 NP_001028222.1
H19121 NP_079474.2
H19122 NP_004066.1
H19123 NP_001018082.1
H19124 NP_001017523.1
H19125 NP_008993.1
H19126 NP_036538.3
H19127 NP_982260.2
H19128 NP_055468.2
H19129 NP_001135815.1
H19130 NP_001135816.1
H19131 NP_001135817.1
H19132 NP_004063.1
H19133 NP_009007.2
H19134 NP_055521.1
H19135 NP_998760.1
H19136 NP_055116.1
H19137 NP_859075.2
H19138 NP_002997.1
H19139 NP_055140.1
H19140 NP_061857.3
H19141 NP_001154802.1
H19142 NP_001154803.1
H19143 NP_001908.3
H19144 NP_061181.1
H19145 NP_116052.2
H19146 NP_001138846.1
H19147 NP_001001655.1
H19148 NP_001138847.1
H19149 NP_550433.1
H19150 NP_003353.1
H19151 NP_001084.3
H19152 NP_998761.2
H19153 NP_001094891.3
H19154 NP_114160.1
H19155 NP_904324.1
H19156 NP_569733.2
H19157 NP_443077.1
H19158 NP_000422.1
H19159 NP_001107657.1
H19160 NP_116218.2
H19161 NP_671737.1
H19162 NP_067638.3
H19163 NP_001170899.1
H19164 NP_001170902.1
H19165 NP_001170904.1
H19166 NP_057517.1
H19167 NP_115676.1
H19168 NP_001137324.1
H19169 NP_476511.1
H19170 NP_476510.1
H19171 NP_055591.2
H19172 NP_001128685.1
H19173 NP_001128686.1
H19174 NP_631940.2
H19175 NP_149112.1
H19176 NP_997318.1
H19177 NP_054774.2
H19178 NP_001137251.1
H19179 NP_113661.2
H19180 NP_001672.1
H19181 NP_733765.1
H19182 NP_001129237.1
H19183 NP_057322.2
H19184 NP_001131136.1
H19185 NP_005710.1
H19186 NP_001157844.1
H19187 NP_057385.3
H19188 NP_001157845.1
H19189 NP_037432.2
H19190 NP_057310.1
H19191 NP_476528.1
H19192 NP_689655.3
H19193 NP_644812.1
H19194 NP_001076006.1
H19195 NP_001076007.1
H19196 NP_078825.2
H19197 NP_001167446.1
H19198 NP_001167447.1
H19199 NP_001035196.1
H19200 NP_115745.2
H19201 NP_002701.1
H19202 NP_689804.1
H19203 NP_000423.2
H19204 NP_056082.2
H19205 NP_001171467.1
H19206 NP_653272.2
H19207 NP_001171468.1
H19208 NP_005466.1
H19209 NP_002964.3
H19210 NP_006759.3
H19211 NP_079523.3
H19212 NP_001130010.1
H19213 NP_000681.2
H19214 NP_003659.2
H19215 NP_620777.1
H19216 NP_001180382.1
H19217 NP_001180460.1
H19218 NP_612350.1
H19219 NP_006808.1
H19220 NP_001029197.1
H19221 NP_079229.2
H19222 NP_006691.1
H19223 NP_001137378.1
H19224 NP_001103132.2
H19225 NP_000961.2
H19226 NP_001019833.1
H19227 NP_002825.3
H19228 NP_055769.2
H19229 NP_001137326.1
H19230 NP_001027581.1
H19231 NP_058132.2
H19232 NP_002525.2
H19233 NP_006178.2
H19234 NP_058197.2
H19235 NP_002526.2
H19236 NP_001027903.1
H19237 NP_004407.2
H19238 NP_001180449.1
H19239 NP_001180450.1
H19240 NP_004649.2
H19241 NP_001138344.1
H19242 NP_001104792.1
H19243 NP_076977.3
H19244 NP_116237.1
H19245 NP_612460.1
H19246 NP_001137291.1
H19247 NP_060371.2
H19248 NP_079235.2
H19249 NP_001153199.1
H19250 NP_775813.2
H19251 NP_006834.2
H19252 NP_612441.1
H19253 NP_071758.1
H19254 NP_057280.2
H19255 NP_001140170.1
H19256 NP_001140171.1
H19257 NP_852259.1
H19258 NP_000183.2
H19259 NP_542448.1
H19260 NP_542449.1
H19261 XP_001716418.2
H19262 NP_005987.3
H19263 NP_057653.3
H19264 NP_056150.1
H19265 NP_001078950.1
H19266 NP_079014.1
H19267 NP_116203.2
H19268 NP_001103373.1
H19269 NP_003797.1
H19270 NP_036306.1
H19271 NP_699179.2
H19272 NP_060369.3
H19273 NP_001161797.1
H19274 NP_296373.1
H19275 NP_055817.1
H19276 NP_000611.1
H19277 NP_775869.3
H19278 NP_031396.1
H19279 NP_853556.2
H19280 NP_001123585.1
H19281 NP_001123584.1
H19282 NP_061109.1
H19283 NP_061959.2
H19284 NP_002558.1
H19285 NP_057365.3
H19286 NP_071936.2
H19287 NP_919262.2
H19288 NP_055180.1
H19289 NP_848594.2
H19290 NP_001130006.1
H19291 NP_006244.2
H19292 NP_009105.1
H19293 NP_997194.2
H19294 NP_006852.1
H19295 NP_001161078.1
H19296 NP_006827.1
H19297 NP_444505.1
H19298 NP_000993.1
H19299 NP_001074324.1
H19300 NP_002850.2
H19301 NP_079433.3
H19302 NP_036372.1
H19303 NP_000919.1
H19304 NP_002433.1
H19305 NP_004364.2
H19306 NP_057483.1
H19307 NP_789788.1
H19308 NP_003760.1
H19309 NP_001032583.1
H19310 NP_001032584.1
H19311 NP_003737.1
H19312 NP_115690.3
H19313 NP_055683.3
H19314 NP_937845.1
H19315 NP_057002.2
H19316 NP_001028849.1
H19317 NP_112482.1
H19318 NP_004267.2
H19319 NP_055545.1
H19320 NP_001074002.1
H19321 NP_000008.1
H19322 NP_620584.2
H19323 NP_000536.5
H19324 NP_075046.1
H19325 NP_003724.1
H19326 NP_937856.1
H19327 NP_002553.3
H19328 NP_002551.2
H19329 NP_006540.3
H19330 NP_757365.1
H19331 NP_757380.1
H19332 NP_705719.2
H19333 NP_705720.1
H19334 NP_757363.1
H19335 NP_757364.1
H19336 NP_057321.2
H19337 NP_001131031.1
H19338 NP_079402.2
H19339 NP_919247.1
H19340 NP_001005366.1
H19341 NP_115979.3
H19342 NP_116179.2
H19343 NP_776254.3
H19344 NP_001074294.2
H19345 NP_061907.2
H19346 NP_055863.1
H19347 NP_002141.1
H19348 NP_001165464.1
H19349 NP_002804.2
H19350 NP_653269.3
H19351 NP_001171474.1
H19352 NP_066273.1
H19353 NP_001019979.1
H19354 NP_055753.3
H19355 NP_001014358.1
H19356 NP_001091989.1
H19357 NP_689972.3
H19358 NP_110392.1
H19359 NP_063940.1
H19360 NP_620307.1
H19361 NP_075067.2
H19362 NP_002947.1
H19363 NP_937883.1
H19364 NP_060082.2
H19365 NP_075388.2
H19366 NP_055523.1
H19367 NP_808219.1
H19368 NP_006009.2
H19369 NP_115943.1
H19370 NP_003668.2
H19371 NP_115962.2
H19372 NP_958843.2
H19373 NP_003950.1
H19374 NP_078943.1
H19375 NP_982269.1
H19376 NP_062571.1
H19377 NP_062570.1
H19378 NP_078899.1
H19379 NP_057722.2
H19380 NP_001002251.1
H19381 NP_061164.2
H19382 NP_001002252.1
H19383 NP_065896.1
H19384 NP_073619.2
H19385 NP_689482.1
H19386 NP_001137377.1
H19387 NP_001181924.1
H19388 NP_004633.1
H19389 NP_060653.3
H19390 NP_001161328.1
H19391 NP_065115.3
H19392 NP_659495.1
H19393 NP_851030.1
H19394 NP_073208.1
H19395 NP_847884.2
H19396 NP_006806.1
H19397 NP_065987.1
H19398 NP_001405.1
H19399 NP_001507.2
H19400 NP_079085.2
H19401 NP_001137322.1
H19402 NP_036595.2
H19403 NP_997320.2
H19404 NP_079416.1
H19405 NP_689650.1
H19406 NP_859060.3
H19407 NP_006303.3
H19408 NP_001070729.1
H19409 NP_001076428.1
H19410 NP_005496.4
H19411 NP_066289.2
H19412 NP_116045.2
H19413 NP_542193.3
H19414 NP_076417.2
H19415 NP_443139.2
H19416 NP_001129575.2
H19417 NP_663623.1
H19418 NP_653270.1
H19419 NP_597705.2
H19420 NP_009128.1
H19421 NP_004755.2
H19422 NP_001177900.1
H19423 NP_056162.4
H19424 NP_001971.2
H19425 NP_919337.1
H19426 NP_006316.1
H19427 NP_942122.2
H19428 XP_001720078.1
H19429 NP_004583.2
H19430 NP_057239.4
H19431 NP_003556.1
H19432 NP_079491.2
H19433 NP_001002019.1
H19434 NP_001002020.1
H19435 NP_056224.2
H19436 NP_778236.2
H19437 NP_076983.1
H19438 NP_001116108.1
H19439 NP_068580.2
H19440 NP_001136113.1
H19441 XP_003118933.1
H19442 XP_003118934.1
H19443 XP_003118935.1
H19444 XP_003118936.1
H19445 NP_057402.1
H19446 NP_733782.1
H19447 NP_733783.1
H19448 NP_036358.2
H19449 NP_777361.1
H19450 NP_777362.1
H19451 NP_006222.2
H19452 NP_061133.1
H19453 NP_001164014.1
H19454 NP_001164015.1
H19455 NP_612642.2
H19456 NP_055929.1
H19457 NP_005886.2
H19458 NP_001166028.1
H19459 NP_001154816.1
H19460 NP_001154817.1
H19461 NP_001154818.1
H19462 NP_060693.2
H19463 NP_001154819.1
H19464 NP_899061.1
H19465 NP_001158187.1
H19466 NP_062537.2
H19467 NP_003419.3
H19468 NP_001120844.1
H19469 NP_003431.2
H19470 NP_056209.2
H19471 NP_003406.1
H19472 NP_001159353.1
H19473 NP_001159355.1
H19474 NP_001159357.1
H19475 NP_001159358.1
H19476 NP_001159356.2
H19477 NP_694422.2
H19478 NP_001159359.1
H19479 NP_001159354.1
H19480 NP_001177983.1
H19481 XP_003118938.1
H19482 NP_005992.1
H19483 NP_570141.3
H19484 NP_954863.2
H19485 NP_001135440.1
H19486 NP_059990.2
H19487 NP_001035879.1
H19488 NP_001136156.1
H19489 NP_001034739.1
H19490 NP_001034738.1
H19491 NP_003444.1
H19492 NP_932072.1
H19493 NP_001177893.1
H19494 NP_001177894.1
H19495 NP_068773.2
H19496 NP_003995.2
H19497 NP_006774.2
H19498 NP_001103691.1
